temperature,humidity,pressure,status
24.59,21.3,101148,Uncomfortable
18.35,56.8,101509,Uncomfortable
28.38,24.3,101280,Uncomfortable
15.45,30.9,101355,Uncomfortable
15.4,29.9,101485,Uncomfortable
23.17,31.0,101430,Comfortable
27.14,20.3,101625,Uncomfortable
25.47,37.0,101040,Uncomfortable
29.36,36.8,100983,Uncomfortable
16.45,62.4,101443,Uncomfortable
27.11,56.5,101383,Uncomfortable
29.6,38.9,101397,Uncomfortable
27.44,50.9,101676,Uncomfortable
23.66,55.2,100941,Comfortable
18.42,34.5,100972,Uncomfortable
18.49,25.1,101150,Uncomfortable
24.54,38.2,101233,Comfortable
18.14,33.3,101743,Uncomfortable
24.72,50.5,101054,Comfortable
25.94,28.2,101242,Uncomfortable
29.84,52.0,101401,Uncomfortable
25.27,62.1,101598,Uncomfortable
18.44,21.6,101184,Uncomfortable
19.02,30.5,101749,Uncomfortable
28.15,35.7,101490,Uncomfortable
20.93,65.7,101313,Uncomfortable
18.97,32.3,101405,Uncomfortable
18.94,49.2,101708,Uncomfortable
20.99,31.0,101798,Comfortable
22.64,24.5,100942,Uncomfortable
16.64,51.4,101613,Uncomfortable
21.33,23.2,101243,Uncomfortable
29.94,46.5,101774,Uncomfortable
27.91,20.6,101549,Uncomfortable
25.23,46.8,101140,Uncomfortable
24.61,25.6,101291,Uncomfortable
21.81,67.7,101688,Uncomfortable
18.95,45.0,101061,Uncomfortable
28.69,63.5,101169,Uncomfortable
24.58,50.4,101038,Comfortable
26.44,47.0,101601,Uncomfortable
22.96,20.0,101192,Uncomfortable
15.29,66.5,101691,Uncomfortable
27.47,35.4,100952,Uncomfortable
28.17,67.3,100977,Uncomfortable
22.29,23.5,101585,Uncomfortable
26.49,26.4,101328,Uncomfortable
23.25,33.3,101685,Comfortable
21.35,30.6,101385,Comfortable
25.95,30.1,101181,Uncomfortable
29.93,52.5,101294,Uncomfortable
22.76,26.1,101102,Uncomfortable
20.07,49.4,101107,Comfortable
18.3,23.5,101468,Uncomfortable
18.43,65.3,101674,Uncomfortable
16.06,31.9,101502,Uncomfortable
18.21,26.6,101742,Uncomfortable
23.57,43.6,101606,Comfortable
27.11,29.5,100987,Uncomfortable
21.47,41.2,101320,Comfortable
25.94,53.7,101786,Uncomfortable
16.48,40.1,101205,Uncomfortable
27.93,32.4,101071,Uncomfortable
21.73,41.1,101151,Comfortable
18.75,66.2,101299,Uncomfortable
27.92,47.5,100946,Uncomfortable
29.99,61.8,101772,Uncomfortable
28.9,62.4,101050,Uncomfortable
22.28,30.7,101261,Comfortable
15.88,38.9,101787,Uncomfortable
18.98,59.2,101310,Uncomfortable
21.35,67.9,101796,Uncomfortable
23.34,55.9,101039,Comfortable
19.45,68.4,101421,Uncomfortable
23.13,57.4,100951,Comfortable
23.76,45.1,101667,Comfortable
17.36,68.0,100972,Uncomfortable
17.79,49.8,101508,Uncomfortable
18.53,26.0,101701,Uncomfortable
18.69,49.7,101457,Uncomfortable
21.29,49.2,101371,Comfortable
29.02,30.2,101545,Uncomfortable
18.58,39.8,101505,Uncomfortable
19.5,35.8,101577,Uncomfortable
16.09,42.9,101799,Uncomfortable
29.94,23.7,101092,Uncomfortable
18.98,66.7,101693,Uncomfortable
28.19,38.5,101042,Uncomfortable
27.51,55.2,101451,Uncomfortable
29.81,52.7,100907,Uncomfortable
27.26,35.0,101497,Uncomfortable
29.08,26.7,101004,Uncomfortable
16.61,47.7,101145,Uncomfortable
24.07,55.9,101083,Comfortable
24.51,33.2,101340,Comfortable
28.58,62.3,100983,Uncomfortable
21.35,33.8,100903,Comfortable
26.57,51.9,101136,Uncomfortable
26.12,47.6,101285,Uncomfortable
15.15,23.8,101695,Uncomfortable
28.56,47.3,101651,Uncomfortable
23.74,27.4,101015,Uncomfortable
19.62,64.9,101617,Uncomfortable
27.91,64.9,101089,Uncomfortable
18.74,25.1,101602,Uncomfortable
28.26,40.3,101459,Uncomfortable
17.32,66.5,101678,Uncomfortable
29.64,60.5,101693,Uncomfortable
15.37,56.8,101199,Uncomfortable
28.96,60.1,101678,Uncomfortable
27.16,33.3,101609,Uncomfortable
16.62,63.6,101673,Uncomfortable
18.34,60.8,101314,Uncomfortable
19.58,59.8,101105,Uncomfortable
15.35,29.7,101195,Uncomfortable
27.97,68.3,101151,Uncomfortable
24.62,40.0,101783,Comfortable
23.04,67.0,101004,Uncomfortable
29.56,28.9,101766,Uncomfortable
18.98,25.4,101291,Uncomfortable
25.93,35.7,101446,Uncomfortable
22.67,39.3,101419,Comfortable
18.82,55.4,100902,Uncomfortable
28.88,46.9,101547,Uncomfortable
26.13,53.5,101228,Uncomfortable
16.05,53.2,101197,Uncomfortable
19.71,62.4,101548,Uncomfortable
19.5,35.5,101268,Uncomfortable
21.04,34.8,101015,Comfortable
21.31,67.0,101510,Uncomfortable
28.54,50.8,101171,Uncomfortable
23.22,20.0,101158,Uncomfortable
21.45,49.0,101489,Comfortable
21.97,42.1,101092,Comfortable
22.1,65.1,101616,Uncomfortable
17.55,24.2,101364,Uncomfortable
24.49,36.8,101637,Comfortable
26.27,53.6,101102,Uncomfortable
17.99,21.2,101120,Uncomfortable
22.13,62.5,100966,Uncomfortable
21.22,51.5,101075,Comfortable
25.45,44.7,101120,Uncomfortable
24.84,20.3,101576,Uncomfortable
26.55,25.3,101283,Uncomfortable
17.64,67.9,101366,Uncomfortable
15.75,32.5,101664,Uncomfortable
21.85,60.1,101501,Uncomfortable
29.82,49.8,101755,Uncomfortable
